ayah_id,ayah_text,normalized_text
1262,ثم يتوب الله من بعد ذلك على من يشاء ۗ والله غفور رحيم,ثم يتوب الله من بعد ذلك علي من يشاء ۗ والله غفور رحيم
1263,يا أيها الذين آمنوا إنما المشركون نجس فلا يقربوا المسجد الحرام بعد عامهم هذا ۚ وإن خفتم عيلة فسوف يغنيكم الله من فضله إن شاء ۚ إن الله عليم حكيم,يا ايها الذين امنوا انما المشركون نجس فلا يقربوا المسجد الحرام بعد عامهم هذا ۚ وان خفتم عيله فسوف يغنيكم الله من فضله ان شاء ۚ ان الله عليم حكيم
1264,قاتلوا الذين لا يؤمنون بالله ولا باليوم الآخر ولا يحرمون ما حرم الله ورسوله ولا يدينون دين الحق من الذين أوتوا الكتاب حتى يعطوا الجزية عن يد وهم صاغرون,قاتلوا الذين لا يومنون بالله ولا باليوم الاخر ولا يحرمون ما حرم الله ورسوله ولا يدينون دين الحق من الذين اوتوا الكتاب حتي يعطوا الجزيه عن يد وهم صاغرون
1265,وقالت اليهود عزير ابن الله وقالت النصارى المسيح ابن الله ۖ ذلك قولهم بأفواههم ۖ يضاهئون قول الذين كفروا من قبل ۚ قاتلهم الله ۚ أنى يؤفكون,وقالت اليهود عزير ابن الله وقالت النصاري المسيح ابن الله ۖ ذلك قولهم بافواههم ۖ يضاهيون قول الذين كفروا من قبل ۚ قاتلهم الله ۚ اني يوفكون
1266,اتخذوا أحبارهم ورهبانهم أربابا من دون الله والمسيح ابن مريم وما أمروا إلا ليعبدوا إلها واحدا ۖ لا إله إلا هو ۚ سبحانه عما يشركون,اتخذوا احبارهم ورهبانهم اربابا من دون الله والمسيح ابن مريم وما امروا الا ليعبدوا الها واحدا ۖ لا اله الا هو ۚ سبحانه عما يشركون
1267,يريدون أن يطفئوا نور الله بأفواههم ويأبى الله إلا أن يتم نوره ولو كره الكافرون,يريدون ان يطفيوا نور الله بافواههم ويابي الله الا ان يتم نوره ولو كره الكافرون
1268,هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون,هو الذي ارسل رسوله بالهدي ودين الحق ليظهره علي الدين كله ولو كره المشركون
1269,يا أيها الذين آمنوا إن كثيرا من الأحبار والرهبان ليأكلون أموال الناس بالباطل ويصدون عن سبيل الله ۗ والذين يكنزون الذهب والفضة ولا ينفقونها في سبيل الله فبشرهم بعذاب أليم,يا ايها الذين امنوا ان كثيرا من الاحبار والرهبان لياكلون اموال الناس بالباطل ويصدون عن سبيل الله ۗ والذين يكنزون الذهب والفضه ولا ينفقونها في سبيل الله فبشرهم بعذاب اليم
1270,يوم يحمى عليها في نار جهنم فتكوى بها جباههم وجنوبهم وظهورهم ۖ هذا ما كنزتم لأنفسكم فذوقوا ما كنتم تكنزون,يوم يحمي عليها في نار جهنم فتكوي بها جباههم وجنوبهم وظهورهم ۖ هذا ما كنزتم لانفسكم فذوقوا ما كنتم تكنزون
1271,إن عدة الشهور عند الله اثنا عشر شهرا في كتاب الله يوم خلق السماوات والأرض منها أربعة حرم ۚ ذلك الدين القيم ۚ فلا تظلموا فيهن أنفسكم ۚ وقاتلوا المشركين كافة كما يقاتلونكم كافة ۚ واعلموا أن الله مع المتقين,ان عده الشهور عند الله اثنا عشر شهرا في كتاب الله يوم خلق السماوات والارض منها اربعه حرم ۚ ذلك الدين القيم ۚ فلا تظلموا فيهن انفسكم ۚ وقاتلوا المشركين كافه كما يقاتلونكم كافه ۚ واعلموا ان الله مع المتقين
1272,إنما النسيء زيادة في الكفر ۖ يضل به الذين كفروا يحلونه عاما ويحرمونه عاما ليواطئوا عدة ما حرم الله فيحلوا ما حرم الله ۚ زين لهم سوء أعمالهم ۗ والله لا يهدي القوم الكافرين,انما النسيء زياده في الكفر ۖ يضل به الذين كفروا يحلونه عاما ويحرمونه عاما ليواطيوا عده ما حرم الله فيحلوا ما حرم الله ۚ زين لهم سوء اعمالهم ۗ والله لا يهدي القوم الكافرين
1273,يا أيها الذين آمنوا ما لكم إذا قيل لكم انفروا في سبيل الله اثاقلتم إلى الأرض ۚ أرضيتم بالحياة الدنيا من الآخرة ۚ فما متاع الحياة الدنيا في الآخرة إلا قليل,يا ايها الذين امنوا ما لكم اذا قيل لكم انفروا في سبيل الله اثاقلتم الي الارض ۚ ارضيتم بالحياه الدنيا من الاخره ۚ فما متاع الحياه الدنيا في الاخره الا قليل
1274,إلا تنفروا يعذبكم عذابا أليما ويستبدل قوما غيركم ولا تضروه شيئا ۗ والله على كل شيء قدير,الا تنفروا يعذبكم عذابا اليما ويستبدل قوما غيركم ولا تضروه شييا ۗ والله علي كل شيء قدير
1275,إلا تنصروه فقد نصره الله إذ أخرجه الذين كفروا ثاني اثنين إذ هما في الغار إذ يقول لصاحبه لا تحزن إن الله معنا ۖ فأنزل الله سكينته عليه وأيده بجنود لم تروها وجعل كلمة الذين كفروا السفلى ۗ وكلمة الله هي العليا ۗ والله عزيز حكيم,الا تنصروه فقد نصره الله اذ اخرجه الذين كفروا ثاني اثنين اذ هما في الغار اذ يقول لصاحبه لا تحزن ان الله معنا ۖ فانزل الله سكينته عليه وايده بجنود لم تروها وجعل كلمه الذين كفروا السفلي ۗ وكلمه الله هي العليا ۗ والله عزيز حكيم
1276,انفروا خفافا وثقالا وجاهدوا بأموالكم وأنفسكم في سبيل الله ۚ ذلكم خير لكم إن كنتم تعلمون,انفروا خفافا وثقالا وجاهدوا باموالكم وانفسكم في سبيل الله ۚ ذلكم خير لكم ان كنتم تعلمون
1277,لو كان عرضا قريبا وسفرا قاصدا لاتبعوك ولكن بعدت عليهم الشقة ۚ وسيحلفون بالله لو استطعنا لخرجنا معكم يهلكون أنفسهم والله يعلم إنهم لكاذبون,لو كان عرضا قريبا وسفرا قاصدا لاتبعوك ولكن بعدت عليهم الشقه ۚ وسيحلفون بالله لو استطعنا لخرجنا معكم يهلكون انفسهم والله يعلم انهم لكاذبون
1278,عفا الله عنك لم أذنت لهم حتى يتبين لك الذين صدقوا وتعلم الكاذبين,عفا الله عنك لم اذنت لهم حتي يتبين لك الذين صدقوا وتعلم الكاذبين
1279,لا يستأذنك الذين يؤمنون بالله واليوم الآخر أن يجاهدوا بأموالهم وأنفسهم ۗ والله عليم بالمتقين,لا يستاذنك الذين يومنون بالله واليوم الاخر ان يجاهدوا باموالهم وانفسهم ۗ والله عليم بالمتقين
1280,إنما يستأذنك الذين لا يؤمنون بالله واليوم الآخر وارتابت قلوبهم فهم في ريبهم يترددون,انما يستاذنك الذين لا يومنون بالله واليوم الاخر وارتابت قلوبهم فهم في ريبهم يترددون
1281,ولو أرادوا الخروج لأعدوا له عدة ولكن كره الله انبعاثهم فثبطهم وقيل اقعدوا مع القاعدين,ولو ارادوا الخروج لاعدوا له عده ولكن كره الله انبعاثهم فثبطهم وقيل اقعدوا مع القاعدين
1282,لو خرجوا فيكم ما زادوكم إلا خبالا ولأوضعوا خلالكم يبغونكم الفتنة وفيكم سماعون لهم ۗ والله عليم بالظالمين,لو خرجوا فيكم ما زادوكم الا خبالا ولاوضعوا خلالكم يبغونكم الفتنه وفيكم سماعون لهم ۗ والله عليم بالظالمين
1283,لقد ابتغوا الفتنة من قبل وقلبوا لك الأمور حتى جاء الحق وظهر أمر الله وهم كارهون,لقد ابتغوا الفتنه من قبل وقلبوا لك الامور حتي جاء الحق وظهر امر الله وهم كارهون
1284,ومنهم من يقول ائذن لي ولا تفتني ۚ ألا في الفتنة سقطوا ۗ وإن جهنم لمحيطة بالكافرين,ومنهم من يقول ايذن لي ولا تفتني ۚ الا في الفتنه سقطوا ۗ وان جهنم لمحيطه بالكافرين
1285,إن تصبك حسنة تسؤهم ۖ وإن تصبك مصيبة يقولوا قد أخذنا أمرنا من قبل ويتولوا وهم فرحون,ان تصبك حسنه تسوهم ۖ وان تصبك مصيبه يقولوا قد اخذنا امرنا من قبل ويتولوا وهم فرحون
1286,قل لن يصيبنا إلا ما كتب الله لنا هو مولانا ۚ وعلى الله فليتوكل المؤمنون,قل لن يصيبنا الا ما كتب الله لنا هو مولانا ۚ وعلي الله فليتوكل المومنون
1287,قل هل تربصون بنا إلا إحدى الحسنيين ۖ ونحن نتربص بكم أن يصيبكم الله بعذاب من عنده أو بأيدينا ۖ فتربصوا إنا معكم متربصون,قل هل تربصون بنا الا احدي الحسنيين ۖ ونحن نتربص بكم ان يصيبكم الله بعذاب من عنده او بايدينا ۖ فتربصوا انا معكم متربصون
1288,قل أنفقوا طوعا أو كرها لن يتقبل منكم ۖ إنكم كنتم قوما فاسقين,قل انفقوا طوعا او كرها لن يتقبل منكم ۖ انكم كنتم قوما فاسقين
1289,وما منعهم أن تقبل منهم نفقاتهم إلا أنهم كفروا بالله وبرسوله ولا يأتون الصلاة إلا وهم كسالى ولا ينفقون إلا وهم كارهون,وما منعهم ان تقبل منهم نفقاتهم الا انهم كفروا بالله وبرسوله ولا ياتون الصلاه الا وهم كسالي ولا ينفقون الا وهم كارهون
1290,فلا تعجبك أموالهم ولا أولادهم ۚ إنما يريد الله ليعذبهم بها في الحياة الدنيا وتزهق أنفسهم وهم كافرون,فلا تعجبك اموالهم ولا اولادهم ۚ انما يريد الله ليعذبهم بها في الحياه الدنيا وتزهق انفسهم وهم كافرون
1291,ويحلفون بالله إنهم لمنكم وما هم منكم ولكنهم قوم يفرقون,ويحلفون بالله انهم لمنكم وما هم منكم ولكنهم قوم يفرقون
1292,لو يجدون ملجأ أو مغارات أو مدخلا لولوا إليه وهم يجمحون,لو يجدون ملجا او مغارات او مدخلا لولوا اليه وهم يجمحون
1293,ومنهم من يلمزك في الصدقات فإن أعطوا منها رضوا وإن لم يعطوا منها إذا هم يسخطون,ومنهم من يلمزك في الصدقات فان اعطوا منها رضوا وان لم يعطوا منها اذا هم يسخطون
1294,ولو أنهم رضوا ما آتاهم الله ورسوله وقالوا حسبنا الله سيؤتينا الله من فضله ورسوله إنا إلى الله راغبون,ولو انهم رضوا ما اتاهم الله ورسوله وقالوا حسبنا الله سيوتينا الله من فضله ورسوله انا الي الله راغبون
1295,إنما الصدقات للفقراء والمساكين والعاملين عليها والمؤلفة قلوبهم وفي الرقاب والغارمين وفي سبيل الله وابن السبيل ۖ فريضة من الله ۗ والله عليم حكيم,انما الصدقات للفقراء والمساكين والعاملين عليها والمولفه قلوبهم وفي الرقاب والغارمين وفي سبيل الله وابن السبيل ۖ فريضه من الله ۗ والله عليم حكيم
1296,ومنهم الذين يؤذون النبي ويقولون هو أذن ۚ قل أذن خير لكم يؤمن بالله ويؤمن للمؤمنين ورحمة للذين آمنوا منكم ۚ والذين يؤذون رسول الله لهم عذاب أليم,ومنهم الذين يوذون النبي ويقولون هو اذن ۚ قل اذن خير لكم يومن بالله ويومن للمومنين ورحمه للذين امنوا منكم ۚ والذين يوذون رسول الله لهم عذاب اليم
1297,يحلفون بالله لكم ليرضوكم والله ورسوله أحق أن يرضوه إن كانوا مؤمنين,يحلفون بالله لكم ليرضوكم والله ورسوله احق ان يرضوه ان كانوا مومنين
1298,ألم يعلموا أنه من يحادد الله ورسوله فأن له نار جهنم خالدا فيها ۚ ذلك الخزي العظيم,الم يعلموا انه من يحادد الله ورسوله فان له نار جهنم خالدا فيها ۚ ذلك الخزي العظيم
1299,يحذر المنافقون أن تنزل عليهم سورة تنبئهم بما في قلوبهم ۚ قل استهزئوا إن الله مخرج ما تحذرون,يحذر المنافقون ان تنزل عليهم سوره تنبيهم بما في قلوبهم ۚ قل استهزيوا ان الله مخرج ما تحذرون
1300,ولئن سألتهم ليقولن إنما كنا نخوض ونلعب ۚ قل أبالله وآياته ورسوله كنتم تستهزئون,ولين سالتهم ليقولن انما كنا نخوض ونلعب ۚ قل ابالله واياته ورسوله كنتم تستهزيون
1301,لا تعتذروا قد كفرتم بعد إيمانكم ۚ إن نعف عن طائفة منكم نعذب طائفة بأنهم كانوا مجرمين,لا تعتذروا قد كفرتم بعد ايمانكم ۚ ان نعف عن طايفه منكم نعذب طايفه بانهم كانوا مجرمين
1302,المنافقون والمنافقات بعضهم من بعض ۚ يأمرون بالمنكر وينهون عن المعروف ويقبضون أيديهم ۚ نسوا الله فنسيهم ۗ إن المنافقين هم الفاسقون,المنافقون والمنافقات بعضهم من بعض ۚ يامرون بالمنكر وينهون عن المعروف ويقبضون ايديهم ۚ نسوا الله فنسيهم ۗ ان المنافقين هم الفاسقون
1303,وعد الله المنافقين والمنافقات والكفار نار جهنم خالدين فيها ۚ هي حسبهم ۚ ولعنهم الله ۖ ولهم عذاب مقيم,وعد الله المنافقين والمنافقات والكفار نار جهنم خالدين فيها ۚ هي حسبهم ۚ ولعنهم الله ۖ ولهم عذاب مقيم
1304,كالذين من قبلكم كانوا أشد منكم قوة وأكثر أموالا وأولادا فاستمتعوا بخلاقهم فاستمتعتم بخلاقكم كما استمتع الذين من قبلكم بخلاقهم وخضتم كالذي خاضوا ۚ أولئك حبطت أعمالهم في الدنيا والآخرة ۖ وأولئك هم الخاسرون,كالذين من قبلكم كانوا اشد منكم قوه واكثر اموالا واولادا فاستمتعوا بخلاقهم فاستمتعتم بخلاقكم كما استمتع الذين من قبلكم بخلاقهم وخضتم كالذي خاضوا ۚ اوليك حبطت اعمالهم في الدنيا والاخره ۖ واوليك هم الخاسرون
1305,ألم يأتهم نبأ الذين من قبلهم قوم نوح وعاد وثمود وقوم إبراهيم وأصحاب مدين والمؤتفكات ۚ أتتهم رسلهم بالبينات ۖ فما كان الله ليظلمهم ولكن كانوا أنفسهم يظلمون,الم ياتهم نبا الذين من قبلهم قوم نوح وعاد وثمود وقوم ابراهيم واصحاب مدين والموتفكات ۚ اتتهم رسلهم بالبينات ۖ فما كان الله ليظلمهم ولكن كانوا انفسهم يظلمون
1306,والمؤمنون والمؤمنات بعضهم أولياء بعض ۚ يأمرون بالمعروف وينهون عن المنكر ويقيمون الصلاة ويؤتون الزكاة ويطيعون الله ورسوله ۚ أولئك سيرحمهم الله ۗ إن الله عزيز حكيم,والمومنون والمومنات بعضهم اولياء بعض ۚ يامرون بالمعروف وينهون عن المنكر ويقيمون الصلاه ويوتون الزكاه ويطيعون الله ورسوله ۚ اوليك سيرحمهم الله ۗ ان الله عزيز حكيم
1307,وعد الله المؤمنين والمؤمنات جنات تجري من تحتها الأنهار خالدين فيها ومساكن طيبة في جنات عدن ۚ ورضوان من الله أكبر ۚ ذلك هو الفوز العظيم,وعد الله المومنين والمومنات جنات تجري من تحتها الانهار خالدين فيها ومساكن طيبه في جنات عدن ۚ ورضوان من الله اكبر ۚ ذلك هو الفوز العظيم
1308,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ۚ ومأواهم جهنم ۖ وبئس المصير,يا ايها النبي جاهد الكفار والمنافقين واغلظ عليهم ۚ وماواهم جهنم ۖ وبيس المصير
1309,يحلفون بالله ما قالوا ولقد قالوا كلمة الكفر وكفروا بعد إسلامهم وهموا بما لم ينالوا ۚ وما نقموا إلا أن أغناهم الله ورسوله من فضله ۚ فإن يتوبوا يك خيرا لهم ۖ وإن يتولوا يعذبهم الله عذابا أليما في الدنيا والآخرة ۚ وما لهم في الأرض من ولي ولا نصير,يحلفون بالله ما قالوا ولقد قالوا كلمه الكفر وكفروا بعد اسلامهم وهموا بما لم ينالوا ۚ وما نقموا الا ان اغناهم الله ورسوله من فضله ۚ فان يتوبوا يك خيرا لهم ۖ وان يتولوا يعذبهم الله عذابا اليما في الدنيا والاخره ۚ وما لهم في الارض من ولي ولا نصير
1310,ومنهم من عاهد الله لئن آتانا من فضله لنصدقن ولنكونن من الصالحين,ومنهم من عاهد الله لين اتانا من فضله لنصدقن ولنكونن من الصالحين
1311,فلما آتاهم من فضله بخلوا به وتولوا وهم معرضون,فلما اتاهم من فضله بخلوا به وتولوا وهم معرضون
1312,فأعقبهم نفاقا في قلوبهم إلى يوم يلقونه بما أخلفوا الله ما وعدوه وبما كانوا يكذبون,فاعقبهم نفاقا في قلوبهم الي يوم يلقونه بما اخلفوا الله ما وعدوه وبما كانوا يكذبون
1313,ألم يعلموا أن الله يعلم سرهم ونجواهم وأن الله علام الغيوب,الم يعلموا ان الله يعلم سرهم ونجواهم وان الله علام الغيوب
1314,الذين يلمزون المطوعين من المؤمنين في الصدقات والذين لا يجدون إلا جهدهم فيسخرون منهم ۙ سخر الله منهم ولهم عذاب أليم,الذين يلمزون المطوعين من المومنين في الصدقات والذين لا يجدون الا جهدهم فيسخرون منهم ۙ سخر الله منهم ولهم عذاب اليم
1315,استغفر لهم أو لا تستغفر لهم إن تستغفر لهم سبعين مرة فلن يغفر الله لهم ۚ ذلك بأنهم كفروا بالله ورسوله ۗ والله لا يهدي القوم الفاسقين,استغفر لهم او لا تستغفر لهم ان تستغفر لهم سبعين مره فلن يغفر الله لهم ۚ ذلك بانهم كفروا بالله ورسوله ۗ والله لا يهدي القوم الفاسقين
1316,فرح المخلفون بمقعدهم خلاف رسول الله وكرهوا أن يجاهدوا بأموالهم وأنفسهم في سبيل الله وقالوا لا تنفروا في الحر ۗ قل نار جهنم أشد حرا ۚ لو كانوا يفقهون,فرح المخلفون بمقعدهم خلاف رسول الله وكرهوا ان يجاهدوا باموالهم وانفسهم في سبيل الله وقالوا لا تنفروا في الحر ۗ قل نار جهنم اشد حرا ۚ لو كانوا يفقهون
1317,فليضحكوا قليلا وليبكوا كثيرا جزاء بما كانوا يكسبون,فليضحكوا قليلا وليبكوا كثيرا جزاء بما كانوا يكسبون
1318,فإن رجعك الله إلى طائفة منهم فاستأذنوك للخروج فقل لن تخرجوا معي أبدا ولن تقاتلوا معي عدوا ۖ إنكم رضيتم بالقعود أول مرة فاقعدوا مع الخالفين,فان رجعك الله الي طايفه منهم فاستاذنوك للخروج فقل لن تخرجوا معي ابدا ولن تقاتلوا معي عدوا ۖ انكم رضيتم بالقعود اول مره فاقعدوا مع الخالفين
1319,ولا تصل على أحد منهم مات أبدا ولا تقم على قبره ۖ إنهم كفروا بالله ورسوله وماتوا وهم فاسقون,ولا تصل علي احد منهم مات ابدا ولا تقم علي قبره ۖ انهم كفروا بالله ورسوله وماتوا وهم فاسقون
1320,ولا تعجبك أموالهم وأولادهم ۚ إنما يريد الله أن يعذبهم بها في الدنيا وتزهق أنفسهم وهم كافرون,ولا تعجبك اموالهم واولادهم ۚ انما يريد الله ان يعذبهم بها في الدنيا وتزهق انفسهم وهم كافرون
1321,وإذا أنزلت سورة أن آمنوا بالله وجاهدوا مع رسوله استأذنك أولو الطول منهم وقالوا ذرنا نكن مع القاعدين,واذا انزلت سوره ان امنوا بالله وجاهدوا مع رسوله استاذنك اولو الطول منهم وقالوا ذرنا نكن مع القاعدين
1322,رضوا بأن يكونوا مع الخوالف وطبع على قلوبهم فهم لا يفقهون,رضوا بان يكونوا مع الخوالف وطبع علي قلوبهم فهم لا يفقهون
1323,لكن الرسول والذين آمنوا معه جاهدوا بأموالهم وأنفسهم ۚ وأولئك لهم الخيرات ۖ وأولئك هم المفلحون,لكن الرسول والذين امنوا معه جاهدوا باموالهم وانفسهم ۚ واوليك لهم الخيرات ۖ واوليك هم المفلحون
1324,أعد الله لهم جنات تجري من تحتها الأنهار خالدين فيها ۚ ذلك الفوز العظيم,اعد الله لهم جنات تجري من تحتها الانهار خالدين فيها ۚ ذلك الفوز العظيم
1325,وجاء المعذرون من الأعراب ليؤذن لهم وقعد الذين كذبوا الله ورسوله ۚ سيصيب الذين كفروا منهم عذاب أليم,وجاء المعذرون من الاعراب ليوذن لهم وقعد الذين كذبوا الله ورسوله ۚ سيصيب الذين كفروا منهم عذاب اليم
1326,ليس على الضعفاء ولا على المرضى ولا على الذين لا يجدون ما ينفقون حرج إذا نصحوا لله ورسوله ۚ ما على المحسنين من سبيل ۚ والله غفور رحيم,ليس علي الضعفاء ولا علي المرضي ولا علي الذين لا يجدون ما ينفقون حرج اذا نصحوا لله ورسوله ۚ ما علي المحسنين من سبيل ۚ والله غفور رحيم
1327,ولا على الذين إذا ما أتوك لتحملهم قلت لا أجد ما أحملكم عليه تولوا وأعينهم تفيض من الدمع حزنا ألا يجدوا ما ينفقون,ولا علي الذين اذا ما اتوك لتحملهم قلت لا اجد ما احملكم عليه تولوا واعينهم تفيض من الدمع حزنا الا يجدوا ما ينفقون
1328,إنما السبيل على الذين يستأذنونك وهم أغنياء ۚ رضوا بأن يكونوا مع الخوالف وطبع الله على قلوبهم فهم لا يعلمون,انما السبيل علي الذين يستاذنونك وهم اغنياء ۚ رضوا بان يكونوا مع الخوالف وطبع الله علي قلوبهم فهم لا يعلمون
1329,يعتذرون إليكم إذا رجعتم إليهم ۚ قل لا تعتذروا لن نؤمن لكم قد نبأنا الله من أخباركم ۚ وسيرى الله عملكم ورسوله ثم تردون إلى عالم الغيب والشهادة فينبئكم بما كنتم تعملون,يعتذرون اليكم اذا رجعتم اليهم ۚ قل لا تعتذروا لن نومن لكم قد نبانا الله من اخباركم ۚ وسيري الله عملكم ورسوله ثم تردون الي عالم الغيب والشهاده فينبيكم بما كنتم تعملون
1330,سيحلفون بالله لكم إذا انقلبتم إليهم لتعرضوا عنهم ۖ فأعرضوا عنهم ۖ إنهم رجس ۖ ومأواهم جهنم جزاء بما كانوا يكسبون,سيحلفون بالله لكم اذا انقلبتم اليهم لتعرضوا عنهم ۖ فاعرضوا عنهم ۖ انهم رجس ۖ وماواهم جهنم جزاء بما كانوا يكسبون
1331,يحلفون لكم لترضوا عنهم ۖ فإن ترضوا عنهم فإن الله لا يرضى عن القوم الفاسقين,يحلفون لكم لترضوا عنهم ۖ فان ترضوا عنهم فان الله لا يرضي عن القوم الفاسقين
1332,الأعراب أشد كفرا ونفاقا وأجدر ألا يعلموا حدود ما أنزل الله على رسوله ۗ والله عليم حكيم,الاعراب اشد كفرا ونفاقا واجدر الا يعلموا حدود ما انزل الله علي رسوله ۗ والله عليم حكيم
1333,ومن الأعراب من يتخذ ما ينفق مغرما ويتربص بكم الدوائر ۚ عليهم دائرة السوء ۗ والله سميع عليم,ومن الاعراب من يتخذ ما ينفق مغرما ويتربص بكم الدواير ۚ عليهم دايره السوء ۗ والله سميع عليم
1334,ومن الأعراب من يؤمن بالله واليوم الآخر ويتخذ ما ينفق قربات عند الله وصلوات الرسول ۚ ألا إنها قربة لهم ۚ سيدخلهم الله في رحمته ۗ إن الله غفور رحيم,ومن الاعراب من يومن بالله واليوم الاخر ويتخذ ما ينفق قربات عند الله وصلوات الرسول ۚ الا انها قربه لهم ۚ سيدخلهم الله في رحمته ۗ ان الله غفور رحيم
1335,والسابقون الأولون من المهاجرين والأنصار والذين اتبعوهم بإحسان رضي الله عنهم ورضوا عنه وأعد لهم جنات تجري تحتها الأنهار خالدين فيها أبدا ۚ ذلك الفوز العظيم,والسابقون الاولون من المهاجرين والانصار والذين اتبعوهم باحسان رضي الله عنهم ورضوا عنه واعد لهم جنات تجري تحتها الانهار خالدين فيها ابدا ۚ ذلك الفوز العظيم
1336,وممن حولكم من الأعراب منافقون ۖ ومن أهل المدينة ۖ مردوا على النفاق لا تعلمهم ۖ نحن نعلمهم ۚ سنعذبهم مرتين ثم يردون إلى عذاب عظيم,وممن حولكم من الاعراب منافقون ۖ ومن اهل المدينه ۖ مردوا علي النفاق لا تعلمهم ۖ نحن نعلمهم ۚ سنعذبهم مرتين ثم يردون الي عذاب عظيم
1337,وآخرون اعترفوا بذنوبهم خلطوا عملا صالحا وآخر سيئا عسى الله أن يتوب عليهم ۚ إن الله غفور رحيم,واخرون اعترفوا بذنوبهم خلطوا عملا صالحا واخر سييا عسي الله ان يتوب عليهم ۚ ان الله غفور رحيم
1338,خذ من أموالهم صدقة تطهرهم وتزكيهم بها وصل عليهم ۖ إن صلاتك سكن لهم ۗ والله سميع عليم,خذ من اموالهم صدقه تطهرهم وتزكيهم بها وصل عليهم ۖ ان صلاتك سكن لهم ۗ والله سميع عليم
1339,ألم يعلموا أن الله هو يقبل التوبة عن عباده ويأخذ الصدقات وأن الله هو التواب الرحيم,الم يعلموا ان الله هو يقبل التوبه عن عباده وياخذ الصدقات وان الله هو التواب الرحيم
1340,وقل اعملوا فسيرى الله عملكم ورسوله والمؤمنون ۖ وستردون إلى عالم الغيب والشهادة فينبئكم بما كنتم تعملون,وقل اعملوا فسيري الله عملكم ورسوله والمومنون ۖ وستردون الي عالم الغيب والشهاده فينبيكم بما كنتم تعملون
1341,وآخرون مرجون لأمر الله إما يعذبهم وإما يتوب عليهم ۗ والله عليم حكيم,واخرون مرجون لامر الله اما يعذبهم واما يتوب عليهم ۗ والله عليم حكيم
1342,والذين اتخذوا مسجدا ضرارا وكفرا وتفريقا بين المؤمنين وإرصادا لمن حارب الله ورسوله من قبل ۚ وليحلفن إن أردنا إلا الحسنى ۖ والله يشهد إنهم لكاذبون,والذين اتخذوا مسجدا ضرارا وكفرا وتفريقا بين المومنين وارصادا لمن حارب الله ورسوله من قبل ۚ وليحلفن ان اردنا الا الحسني ۖ والله يشهد انهم لكاذبون
1343,لا تقم فيه أبدا ۚ لمسجد أسس على التقوى من أول يوم أحق أن تقوم فيه ۚ فيه رجال يحبون أن يتطهروا ۚ والله يحب المطهرين,لا تقم فيه ابدا ۚ لمسجد اسس علي التقوي من اول يوم احق ان تقوم فيه ۚ فيه رجال يحبون ان يتطهروا ۚ والله يحب المطهرين
1344,أفمن أسس بنيانه على تقوى من الله ورضوان خير أم من أسس بنيانه على شفا جرف هار فانهار به في نار جهنم ۗ والله لا يهدي القوم الظالمين,افمن اسس بنيانه علي تقوي من الله ورضوان خير ام من اسس بنيانه علي شفا جرف هار فانهار به في نار جهنم ۗ والله لا يهدي القوم الظالمين
1345,لا يزال بنيانهم الذي بنوا ريبة في قلوبهم إلا أن تقطع قلوبهم ۗ والله عليم حكيم,لا يزال بنيانهم الذي بنوا ريبه في قلوبهم الا ان تقطع قلوبهم ۗ والله عليم حكيم
1346,إن الله اشترى من المؤمنين أنفسهم وأموالهم بأن لهم الجنة ۚ يقاتلون في سبيل الله فيقتلون ويقتلون ۖ وعدا عليه حقا في التوراة والإنجيل والقرآن ۚ ومن أوفى بعهده من الله ۚ فاستبشروا ببيعكم الذي بايعتم به ۚ وذلك هو الفوز العظيم,ان الله اشتري من المومنين انفسهم واموالهم بان لهم الجنه ۚ يقاتلون في سبيل الله فيقتلون ويقتلون ۖ وعدا عليه حقا في التوراه والانجيل والقران ۚ ومن اوفي بعهده من الله ۚ فاستبشروا ببيعكم الذي بايعتم به ۚ وذلك هو الفوز العظيم
1347,التائبون العابدون الحامدون السائحون الراكعون الساجدون الآمرون بالمعروف والناهون عن المنكر والحافظون لحدود الله ۗ وبشر المؤمنين,التايبون العابدون الحامدون السايحون الراكعون الساجدون الامرون بالمعروف والناهون عن المنكر والحافظون لحدود الله ۗ وبشر المومنين
1348,ما كان للنبي والذين آمنوا أن يستغفروا للمشركين ولو كانوا أولي قربى من بعد ما تبين لهم أنهم أصحاب الجحيم,ما كان للنبي والذين امنوا ان يستغفروا للمشركين ولو كانوا اولي قربي من بعد ما تبين لهم انهم اصحاب الجحيم
1349,وما كان استغفار إبراهيم لأبيه إلا عن موعدة وعدها إياه فلما تبين له أنه عدو لله تبرأ منه ۚ إن إبراهيم لأواه حليم,وما كان استغفار ابراهيم لابيه الا عن موعده وعدها اياه فلما تبين له انه عدو لله تبرا منه ۚ ان ابراهيم لاواه حليم
1350,وما كان الله ليضل قوما بعد إذ هداهم حتى يبين لهم ما يتقون ۚ إن الله بكل شيء عليم,وما كان الله ليضل قوما بعد اذ هداهم حتي يبين لهم ما يتقون ۚ ان الله بكل شيء عليم
1351,إن الله له ملك السماوات والأرض ۖ يحيي ويميت ۚ وما لكم من دون الله من ولي ولا نصير,ان الله له ملك السماوات والارض ۖ يحيي ويميت ۚ وما لكم من دون الله من ولي ولا نصير
